performanceid,employeeid,reviewdate,environmentsatisfaction,jobsatisfaction,relationshipsatisfaction,trainingopportunitieswithinyear,trainingopportunitiestaken,worklifebalance,selfrating,managerrating,performance_gap,review_year,rating_category,worklife_balance_category,training_flag,satisfaction_score
PR1813,2B08-7D3D,2017-08-10,5,3,5,1,1,2,4,4,0,2017,Medium,Poor,1,4.0
PR1814,9825-45EF,2017-08-12,5,3,3,1,0,3,5,4,-1,2017,High,Average,1,4.0
PR1815,040C-EDED,2017-08-13,4,5,3,1,0,3,3,3,0,2017,Medium,Average,1,4.5
PR1816,46ED-4007,2017-08-13,5,2,4,3,3,4,4,4,0,2017,Medium,Good,1,3.5
PR1817,9811-F345,2017-08-13,3,2,5,2,1,2,5,4,-1,2017,High,Poor,1,2.5
PR1818,AFA8-5058,2017-08-14,5,3,4,3,1,2,4,3,-1,2017,Medium,Poor,1,4.0
PR1819,6112-8476,2017-08-15,5,3,4,1,2,2,5,4,-1,2017,High,Poor,1,4.0
PR182,9C71-61AE,2014-01-23,4,4,3,1,3,2,4,3,-1,2014,Medium,Poor,1,4.0
PR1820,D13E-E661,2017-08-15,5,4,3,2,1,4,5,5,0,2017,High,Good,1,4.5
PR1821,B24C-18BF,2017-08-15,3,5,4,3,2,2,3,2,-1,2017,Medium,Poor,1,4.0
PR1822,7E76-154C,2017-08-15,3,2,3,1,1,4,4,3,-1,2017,Medium,Good,1,2.5
PR1823,2A89-93B6,2017-08-16,4,2,4,2,0,4,4,3,-1,2017,Medium,Good,1,3.0
PR1824,41DC-E8B5,2017-08-16,3,4,5,3,2,3,4,3,-1,2017,Medium,Average,1,3.5
PR1825,CA75-94D1,2017-08-16,3,3,3,3,1,2,3,2,-1,2017,Medium,Poor,1,3.0
PR1826,37EE-004B,2017-08-17,4,4,5,1,0,4,3,2,-1,2017,Medium,Good,1,4.0
PR1827,52DD-757F,2017-08-17,5,3,5,1,0,2,3,3,0,2017,Medium,Poor,1,4.0
PR1828,B76C-D9CE,2017-08-18,3,4,5,2,1,2,5,5,0,2017,High,Poor,1,3.5
PR1829,DF11-9C46,2017-08-18,3,2,4,1,2,2,3,2,-1,2017,Medium,Poor,1,2.5
PR183,8AAD-FAFB,2014-01-24,5,5,2,1,1,4,5,5,0,2014,High,Good,1,5.0
PR1830,F877-3BF9,2017-08-21,3,3,3,1,0,5,4,4,0,2017,Medium,,1,3.0
PR1831,2962-039F,2017-08-21,4,5,5,1,1,4,3,2,-1,2017,Medium,Good,1,4.5
PR1832,60B5-48ED,2017-08-21,3,5,2,3,1,5,3,2,-1,2017,Medium,,1,4.0
PR1833,16FB-8835,2017-08-23,3,4,4,3,1,5,3,2,-1,2017,Medium,,1,3.5
PR1834,17AE-E715,2017-08-24,4,5,2,3,3,3,4,4,0,2017,Medium,Average,1,4.5
PR1835,D186-CBF5,2017-08-25,4,2,5,3,1,2,3,2,-1,2017,Medium,Poor,1,3.0
PR1836,5605-237E,2017-08-25,5,3,2,3,0,2,3,3,0,2017,Medium,Poor,1,4.0
PR1837,4FD5-CC71,2017-08-27,3,3,3,1,0,5,5,5,0,2017,High,,1,3.0
PR1838,15B3-F392,2017-08-30,5,2,3,3,0,5,3,3,0,2017,Medium,,1,3.5
PR1839,134B-4157,2017-09-01,4,3,4,1,2,3,4,3,-1,2017,Medium,Average,1,3.5
PR184,20BA-5868,2014-01-24,4,3,2,1,1,3,4,4,0,2014,Medium,Average,1,3.5
PR1840,BD97-F94D,2017-09-01,4,2,4,3,0,4,3,3,0,2017,Medium,Good,1,3.0
PR1841,2DD1-FD7F,2017-09-02,5,2,2,3,0,5,3,2,-1,2017,Medium,,1,3.5
PR1842,C730-6B13,2017-09-02,5,5,2,1,2,2,3,2,-1,2017,Medium,Poor,1,5.0
PR1843,D6A7-EF72,2017-09-03,5,4,4,1,0,4,3,3,0,2017,Medium,Good,1,4.5
PR1844,2ED2-2CEC,2017-09-03,3,2,4,2,0,2,5,5,0,2017,High,Poor,1,2.5
PR1845,39A2-9B0A,2017-09-04,4,5,5,3,1,5,5,4,-1,2017,High,,1,4.5
PR1846,B09D-DFEC,2017-09-06,3,5,2,3,0,5,5,4,-1,2017,High,,1,4.0
PR1847,D014-7DB2,2017-09-08,5,5,5,2,0,5,3,2,-1,2017,Medium,,1,5.0
PR1848,C973-E8E5,2017-09-09,3,5,5,3,2,2,4,4,0,2017,Medium,Poor,1,4.0
PR1849,1D35-190A,2017-09-11,5,5,5,2,2,3,5,4,-1,2017,High,Average,1,5.0
PR185,45D7-5C8A,2014-01-25,4,3,4,1,0,2,3,2,-1,2014,Medium,Poor,1,3.5
PR1850,4404-DE5A,2017-09-12,3,4,3,1,0,3,4,4,0,2017,Medium,Average,1,3.5
PR1851,6135-885F,2017-09-14,4,5,5,3,3,4,5,5,0,2017,High,Good,1,4.5
PR1852,7623-9AF1,2017-09-15,3,3,3,2,1,2,3,2,-1,2017,Medium,Poor,1,3.0
PR1853,3F19-FC5A,2017-09-16,4,3,3,2,1,5,5,4,-1,2017,High,,1,3.5
PR1854,A71E-A9DC,2017-09-16,5,5,3,3,1,4,3,2,-1,2017,Medium,Good,1,5.0
PR1855,2FC8-999D,2017-09-20,5,3,5,1,1,2,4,3,-1,2017,Medium,Poor,1,4.0
PR1856,3476-CA56,2017-09-21,5,3,5,2,0,2,4,3,-1,2017,Medium,Poor,1,4.0
PR1857,80BE-E2B5,2017-09-21,4,5,3,1,1,5,4,4,0,2017,Medium,,1,4.5
PR1858,07F5-A45D,2017-09-22,4,4,4,2,2,4,4,3,-1,2017,Medium,Good,1,4.0
PR1859,46D6-CA7A,2017-09-23,3,3,5,1,0,4,4,3,-1,2017,Medium,Good,1,3.0
PR186,B4E1-4A3E,2014-01-26,4,3,2,1,0,2,5,4,-1,2014,High,Poor,1,3.5
PR1860,E7D3-03C9,2017-09-24,5,2,2,2,0,3,3,2,-1,2017,Medium,Average,1,3.5
PR1861,DF7E-3233,2017-09-25,3,2,3,1,0,5,3,3,0,2017,Medium,,1,2.5
PR1862,7F61-2397,2017-09-26,5,2,3,1,2,3,3,3,0,2017,Medium,Average,1,3.5
PR1863,EB81-3E51,2017-09-26,4,3,3,3,0,2,4,3,-1,2017,Medium,Poor,1,3.5
PR1864,469A-8121,2017-09-27,5,2,4,2,0,4,4,4,0,2017,Medium,Good,1,3.5
PR1865,1CB3-F7D7,2017-09-28,5,2,4,1,1,4,3,2,-1,2017,Medium,Good,1,3.5
PR1866,9085-1FE8,2017-09-28,4,5,3,2,1,4,5,5,0,2017,High,Good,1,4.5
PR1867,F890-975A,2017-09-28,5,4,3,1,0,5,5,5,0,2017,High,,1,4.5
PR1868,B990-35DA,2017-09-29,3,5,5,3,0,3,5,5,0,2017,High,Average,1,4.0
PR1869,5C7B-86C0,2017-09-30,5,5,3,1,0,2,5,5,0,2017,High,Poor,1,5.0
PR187,6125-FEC8,2014-01-27,5,4,4,3,2,3,5,4,-1,2014,High,Average,1,4.5
PR1870,130F-32AB,2017-10-01,5,2,5,1,0,5,4,3,-1,2017,Medium,,1,3.5
PR1871,B34E-95FF,2017-10-01,3,5,5,3,3,2,5,5,0,2017,High,Poor,1,4.0
PR1872,87D2-8B67,2017-10-01,5,2,4,2,3,2,5,5,0,2017,High,Poor,1,3.5
PR1873,2C7D-F9F1,2017-10-01,5,3,3,2,0,3,5,5,0,2017,High,Average,1,4.0
PR1874,277A-A6FA,2017-10-03,3,4,3,1,0,3,3,3,0,2017,Medium,Average,1,3.5
PR1875,825E-0B3A,2017-10-04,5,3,5,1,0,5,5,4,-1,2017,High,,1,4.0
PR1876,6C86-3DC0,2017-10-04,4,5,3,3,2,5,5,4,-1,2017,High,,1,4.5
PR1877,D4D7-3C3F,2017-10-04,4,5,4,3,0,2,4,3,-1,2017,Medium,Poor,1,4.5
PR1878,0FE8-B881,2017-10-04,3,4,3,2,0,2,4,4,0,2017,Medium,Poor,1,3.5
PR1879,B347-DA2D,2017-10-04,3,4,5,2,2,3,5,5,0,2017,High,Average,1,3.5
PR188,5A0B-7F31,2014-01-29,3,2,4,3,0,5,5,4,-1,2014,High,,1,2.5
PR1880,022A-0219,2017-10-08,4,2,5,3,3,3,3,2,-1,2017,Medium,Average,1,3.0
PR1881,817D-28CE,2017-10-09,3,2,3,2,0,3,4,3,-1,2017,Medium,Average,1,2.5
PR1882,EC6A-DD76,2017-10-09,4,5,2,3,2,5,5,5,0,2017,High,,1,4.5
PR1883,8365-EB74,2017-10-09,4,4,3,2,1,5,4,3,-1,2017,Medium,,1,4.0
PR1884,7589-66E3,2017-10-10,5,5,3,3,2,5,3,3,0,2017,Medium,,1,5.0
PR1885,12A7-AFD6,2017-10-10,5,2,3,3,1,3,5,5,0,2017,High,Average,1,3.5
PR1886,FAC0-942B,2017-10-14,4,2,5,1,0,2,3,2,-1,2017,Medium,Poor,1,3.0
PR1887,15D4-53C2,2017-10-15,3,5,5,2,1,4,5,4,-1,2017,High,Good,1,4.0
PR1888,2250-86C5,2017-10-15,4,2,3,2,1,3,3,2,-1,2017,Medium,Average,1,3.0
PR1889,5C48-9106,2017-10-15,5,3,3,2,2,3,4,4,0,2017,Medium,Average,1,4.0
PR189,E4F4-11B9,2014-01-29,3,4,4,1,0,3,4,3,-1,2014,Medium,Average,1,3.5
PR1890,30CB-BCD0,2017-10-16,4,4,4,3,3,3,4,4,0,2017,Medium,Average,1,4.0
PR1891,45FF-ACE6,2017-10-17,3,4,3,2,1,3,5,5,0,2017,High,Average,1,3.5
PR1892,AA19-95BD,2017-10-17,5,3,5,1,2,2,3,2,-1,2017,Medium,Poor,1,4.0
PR1893,7269-88EC,2017-10-18,3,5,3,3,1,4,5,4,-1,2017,High,Good,1,4.0
PR1894,465A-91D1,2017-10-19,4,5,4,3,2,3,3,2,-1,2017,Medium,Average,1,4.5
PR1895,6F3E-2A75,2017-10-20,5,2,4,1,0,4,5,5,0,2017,High,Good,1,3.5
PR1896,CD0F-DE05,2017-10-20,5,3,3,3,0,3,4,3,-1,2017,Medium,Average,1,4.0
PR1897,21CB-EF3E,2017-10-22,3,4,3,1,0,2,5,4,-1,2017,High,Poor,1,3.5
PR1898,2E9A-BD2E,2017-10-25,5,2,5,2,1,5,3,2,-1,2017,Medium,,1,3.5
PR1899,7378-5351,2017-10-25,4,5,5,1,0,2,3,2,-1,2017,Medium,Poor,1,4.5
PR19,B48C-47D0,2013-01-17,3,4,5,2,0,3,3,2,-1,2013,Medium,Average,1,3.5
PR190,98EE-8547,2014-01-30,4,4,3,2,2,2,5,4,-1,2014,High,Poor,1,4.0
PR1900,CEE0-94C3,2017-10-25,5,3,4,3,2,4,5,4,-1,2017,High,Good,1,4.0
PR1901,9C7D-E1B1,2017-10-26,4,3,2,3,1,2,5,4,-1,2017,High,Poor,1,3.5
PR1902,D199-1896,2017-10-26,3,3,5,3,1,4,3,2,-1,2017,Medium,Good,1,3.0
PR1903,7F91-C628,2017-10-26,5,2,3,2,1,2,5,4,-1,2017,High,Poor,1,3.5
PR1904,B341-8D6A,2017-10-26,4,2,5,2,1,5,3,3,0,2017,Medium,,1,3.0
PR1905,2698-A448,2017-10-27,3,5,5,3,1,4,5,4,-1,2017,High,Good,1,4.0
PR1906,8C57-8F84,2017-10-28,5,2,3,3,1,2,3,3,0,2017,Medium,Poor,1,3.5
PR1907,9E22-6287,2017-10-29,4,5,5,2,1,5,4,4,0,2017,Medium,,1,4.5
PR1908,3012-1A41,2017-10-30,4,4,5,3,1,2,3,2,-1,2017,Medium,Poor,1,4.0
PR1909,6280-B47F,2017-10-31,4,5,5,1,0,3,5,4,-1,2017,High,Average,1,4.5
PR191,7279-6591,2014-01-31,3,3,3,2,1,3,5,5,0,2014,High,Average,1,3.0
PR1910,0868-097F,2017-10-31,5,4,3,1,1,2,4,3,-1,2017,Medium,Poor,1,4.5
PR1911,7B9D-8612,2017-10-31,3,5,2,1,0,4,5,4,-1,2017,High,Good,1,4.0
PR1912,C1C6-F683,2017-11-01,3,2,4,3,1,3,3,3,0,2017,Medium,Average,1,2.5
PR1913,EBBD-37D4,2017-11-02,5,4,2,2,0,3,4,4,0,2017,Medium,Average,1,4.5
PR1914,0240-4D29,2017-11-02,5,5,3,2,1,3,3,3,0,2017,Medium,Average,1,5.0
PR1915,7FA1-BC64,2017-11-03,4,2,5,2,3,2,5,4,-1,2017,High,Poor,1,3.0
PR1916,DD78-E811,2017-11-04,4,3,4,1,0,2,4,3,-1,2017,Medium,Poor,1,3.5
PR1917,EC6E-7F42,2017-11-05,5,2,3,2,0,4,4,4,0,2017,Medium,Good,1,3.5
PR1918,2407-5A4E,2017-11-05,5,4,3,2,1,3,4,3,-1,2017,Medium,Average,1,4.5
PR1919,1363-6BF9,2017-11-06,3,5,4,1,1,5,4,4,0,2017,Medium,,1,4.0
PR192,EEFC-DEC7,2014-01-31,5,2,2,3,0,2,4,3,-1,2014,Medium,Poor,1,3.5
PR1920,1C24-233B,2017-11-06,4,4,4,2,1,4,5,4,-1,2017,High,Good,1,4.0
PR1921,67ED-A630,2017-11-06,3,5,5,3,1,2,3,2,-1,2017,Medium,Poor,1,4.0
PR1922,CC7A-EE97,2017-11-06,3,3,3,2,2,4,4,3,-1,2017,Medium,Good,1,3.0
PR1923,FD95-9EEB,2017-11-07,4,2,5,1,0,2,4,4,0,2017,Medium,Poor,1,3.0
PR1924,4C62-5BE8,2017-11-07,4,2,4,1,1,5,3,2,-1,2017,Medium,,1,3.0
PR1925,AFDF-3DA8,2017-11-08,3,4,2,1,1,2,4,3,-1,2017,Medium,Poor,1,3.5
PR1926,3642-EEAE,2017-11-08,5,2,5,2,0,5,5,5,0,2017,High,,1,3.5
PR1927,BAB4-3AC8,2017-11-08,3,2,5,2,1,3,4,4,0,2017,Medium,Average,1,2.5
PR1928,BFF3-AADC,2017-11-09,4,3,5,3,3,4,4,3,-1,2017,Medium,Good,1,3.5
PR1929,AB4A-E71A,2017-11-09,4,4,3,3,3,5,4,4,0,2017,Medium,,1,4.0
PR193,1180-BEC9,2014-02-01,5,3,4,2,2,5,4,4,0,2014,Medium,,1,4.0
PR1930,D871-1F74,2017-11-09,5,5,2,2,2,5,3,3,0,2017,Medium,,1,5.0
PR1931,4FC2-A40D,2017-11-10,5,4,4,2,0,5,3,2,-1,2017,Medium,,1,4.5
PR1932,7A2A-0600,2017-11-10,4,2,3,2,0,3,4,3,-1,2017,Medium,Average,1,3.0
PR1933,3E4A-F28F,2017-11-11,5,2,4,3,1,2,4,3,-1,2017,Medium,Poor,1,3.5
PR1934,F578-F0C8,2017-11-11,4,2,3,2,0,5,5,5,0,2017,High,,1,3.0
PR1935,2A04-49D1,2017-11-11,5,3,4,3,1,5,3,2,-1,2017,Medium,,1,4.0
PR1936,F9E1-87E9,2017-11-12,3,5,4,1,1,2,5,5,0,2017,High,Poor,1,4.0
PR1937,A696-1216,2017-11-13,3,2,5,3,3,2,4,3,-1,2017,Medium,Poor,1,2.5
PR1938,9728-1A5B,2017-11-14,5,3,4,2,0,5,4,3,-1,2017,Medium,,1,4.0
PR1939,4565-62DE,2017-11-15,5,5,5,2,1,5,5,4,-1,2017,High,,1,5.0
PR194,EE04-1533,2014-02-01,4,4,3,3,1,5,4,4,0,2014,Medium,,1,4.0
PR1940,C395-8C36,2017-11-17,5,5,3,1,3,3,5,4,-1,2017,High,Average,1,5.0
PR1941,B063-A2B5,2017-11-17,3,4,2,3,1,2,3,3,0,2017,Medium,Poor,1,3.5
PR1942,FB5B-C127,2017-11-17,4,2,2,3,1,3,5,5,0,2017,High,Average,1,3.0
PR1943,C25C-C434,2017-11-18,5,4,4,2,3,2,4,3,-1,2017,Medium,Poor,1,4.5
PR1944,4DA0-81D7,2017-11-18,4,5,5,3,1,4,5,4,-1,2017,High,Good,1,4.5
PR1945,7DD6-128C,2017-11-18,5,2,4,3,2,3,4,4,0,2017,Medium,Average,1,3.5
PR1946,0145-DBFC,2017-11-19,5,3,3,3,0,3,3,2,-1,2017,Medium,Average,1,4.0
PR1947,085C-7FC2,2017-11-20,5,3,4,1,0,4,5,4,-1,2017,High,Good,1,4.0
PR1948,7FFD-C810,2017-11-21,5,4,5,1,1,2,5,4,-1,2017,High,Poor,1,4.5
PR1949,C219-6C2E,2017-11-22,5,5,2,1,2,4,5,4,-1,2017,High,Good,1,5.0
PR195,8CF6-3079,2014-02-03,4,5,5,3,3,2,5,4,-1,2014,High,Poor,1,4.5
PR1950,1749-81A2,2017-11-23,3,4,4,2,1,4,5,5,0,2017,High,Good,1,3.5
PR1951,C22D-CE5F,2017-11-24,3,2,3,1,3,5,4,3,-1,2017,Medium,,1,2.5
PR1952,5B11-3DB3,2017-11-25,3,3,2,2,3,2,3,2,-1,2017,Medium,Poor,1,3.0
PR1953,6A2B-42DB,2017-11-25,3,3,2,1,1,5,5,4,-1,2017,High,,1,3.0
PR1954,F838-C681,2017-11-25,4,5,2,2,1,3,5,5,0,2017,High,Average,1,4.5
PR1955,3994-472A,2017-11-26,4,2,2,2,1,3,3,2,-1,2017,Medium,Average,1,3.0
PR1956,12B5-11CC,2017-11-27,5,2,5,1,1,5,4,4,0,2017,Medium,,1,3.5
PR1957,4969-9A35,2017-11-28,4,2,4,3,0,3,5,5,0,2017,High,Average,1,3.0
PR1958,2BEA-43B2,2017-11-28,5,2,2,1,1,4,5,4,-1,2017,High,Good,1,3.5
PR1959,C54B-DBC5,2017-11-29,5,2,3,2,0,3,3,2,-1,2017,Medium,Average,1,3.5
PR196,D7EE-56FC,2014-02-03,4,4,5,1,1,2,4,3,-1,2014,Medium,Poor,1,4.0
PR1960,B312-7192,2017-11-29,4,4,2,1,0,2,3,2,-1,2017,Medium,Poor,1,4.0
PR1961,9FE1-0345,2017-12-01,5,3,4,3,2,3,3,3,0,2017,Medium,Average,1,4.0
PR1962,F265-79B0,2017-12-01,3,5,5,3,0,2,4,4,0,2017,Medium,Poor,1,4.0
PR1963,4886-62DF,2017-12-02,3,2,5,2,0,2,4,4,0,2017,Medium,Poor,1,2.5
PR1964,BD70-7DAE,2017-12-03,5,3,4,1,1,2,4,3,-1,2017,Medium,Poor,1,4.0
PR1965,DDAC-D5FD,2017-12-03,4,5,4,1,1,3,3,2,-1,2017,Medium,Average,1,4.5
PR1966,3D71-8DC2,2017-12-05,3,2,3,3,1,5,3,2,-1,2017,Medium,,1,2.5
PR1967,A923-9EF6,2017-12-05,4,4,4,3,0,4,5,4,-1,2017,High,Good,1,4.0
PR1968,DFA9-990E,2017-12-05,4,2,4,2,1,4,5,4,-1,2017,High,Good,1,3.0
PR1969,D39D-4015,2017-12-05,3,3,2,2,1,3,4,4,0,2017,Medium,Average,1,3.0
PR197,62A3-DEA7,2014-02-04,5,5,3,2,1,2,4,4,0,2014,Medium,Poor,1,5.0
PR1970,4A39-E8E6,2017-12-05,3,5,5,1,1,4,4,4,0,2017,Medium,Good,1,4.0
PR1971,E927-46D7,2017-12-06,3,3,5,3,2,3,5,5,0,2017,High,Average,1,3.0
PR1972,C6EC-FEB5,2017-12-07,5,2,5,3,0,4,4,3,-1,2017,Medium,Good,1,3.5
PR1973,598D-E3B4,2017-12-08,5,4,4,3,1,5,3,2,-1,2017,Medium,,1,4.5
PR1974,B98B-4689,2017-12-08,4,3,5,2,1,4,3,2,-1,2017,Medium,Good,1,3.5
PR1975,63BF-A86A,2017-12-09,3,3,2,3,2,5,5,5,0,2017,High,,1,3.0
PR1976,58C8-63FA,2017-12-09,5,4,3,2,1,4,3,2,-1,2017,Medium,Good,1,4.5
PR1977,CF8D-7379,2017-12-11,5,5,2,3,1,4,3,3,0,2017,Medium,Good,1,5.0
PR1978,E6D9-ADEE,2017-12-13,5,2,4,2,3,4,5,4,-1,2017,High,Good,1,3.5
PR1979,E5C1-B122,2017-12-13,4,4,5,3,3,5,5,5,0,2017,High,,1,4.0
PR198,E151-8C7D,2014-02-04,4,3,2,1,0,4,3,2,-1,2014,Medium,Good,1,3.5
PR1980,39FC-7149,2017-12-13,4,5,5,3,0,4,5,4,-1,2017,High,Good,1,4.5
PR1981,E55E-9436,2017-12-16,3,2,5,2,0,3,4,4,0,2017,Medium,Average,1,2.5
PR1982,DF94-FD29,2017-12-17,4,5,2,3,0,2,5,4,-1,2017,High,Poor,1,4.5
PR1983,9C71-34AE,2017-12-18,5,4,2,2,0,2,5,4,-1,2017,High,Poor,1,4.5
PR1984,AF5D-A8C8,2017-12-19,5,3,4,2,1,5,5,5,0,2017,High,,1,4.0
PR1985,DCFE-F601,2017-12-19,3,4,3,2,1,2,5,5,0,2017,High,Poor,1,3.5
PR1986,0CED-EE28,2017-12-20,4,2,3,1,1,3,3,3,0,2017,Medium,Average,1,3.0
PR1987,5C61-8F3A,2017-12-20,5,5,2,1,0,3,5,4,-1,2017,High,Average,1,5.0
PR1988,13E5-8466,2017-12-20,5,2,5,1,0,3,3,3,0,2017,Medium,Average,1,3.5
PR1989,A2FB-2D5D,2017-12-22,4,3,3,2,3,2,3,2,-1,2017,Medium,Poor,1,3.5
PR199,8EE9-E86D,2014-02-05,4,5,5,2,1,2,4,4,0,2014,Medium,Poor,1,4.5
PR1990,F93D-CB5A,2017-12-22,4,5,5,1,2,3,5,4,-1,2017,High,Average,1,4.5
PR1991,0697-ADC3,2017-12-22,4,4,4,2,1,3,3,2,-1,2017,Medium,Average,1,4.0
PR1992,E681-7B57,2017-12-24,3,4,5,2,3,5,5,5,0,2017,High,,1,3.5
PR1993,637B-DBAD,2017-12-24,5,4,2,2,0,3,4,4,0,2017,Medium,Average,1,4.5
PR1994,D836-B375,2017-12-24,5,2,4,2,3,4,3,3,0,2017,Medium,Good,1,3.5
PR1995,6C42-A719,2017-12-25,3,2,2,3,1,4,4,4,0,2017,Medium,Good,1,2.5
PR1996,A9EB-9E41,2017-12-25,5,3,2,2,0,4,5,5,0,2017,High,Good,1,4.0
PR1997,4CA1-F139,2017-12-26,4,4,3,3,2,5,4,4,0,2017,Medium,,1,4.0
PR1998,63B0-1036,2017-12-27,5,2,5,1,0,4,3,2,-1,2017,Medium,Good,1,3.5
PR1999,1609-65E1,2017-12-28,5,2,5,1,1,5,5,5,0,2017,High,,1,3.5
PR20,32AE-C02F,2013-01-18,4,3,2,3,0,5,5,4,-1,2013,High,,1,3.5
PR200,F3CD-9B5B,2014-02-05,5,5,5,3,0,4,3,3,0,2014,Medium,Good,1,5.0
PR2000,4D7E-BDA4,2017-12-28,3,4,2,3,1,5,3,3,0,2017,Medium,,1,3.5
PR2001,03EF-5904,2017-12-29,5,3,3,2,0,5,5,4,-1,2017,High,,1,4.0
PR2002,74F2-5C55,2017-12-30,3,2,4,2,0,5,4,4,0,2017,Medium,,1,2.5
PR2003,ACA9-5DC2,2017-12-30,5,4,5,3,1,2,5,5,0,2017,High,Poor,1,4.5
PR2004,211E-BC82,2017-12-30,3,4,3,2,3,4,5,5,0,2017,High,Good,1,3.5
PR2005,40BE-EEAF,2017-12-31,5,4,5,2,1,3,3,3,0,2017,Medium,Average,1,4.5
PR2006,79F3-8AA5,2017-12-31,4,4,4,2,1,5,3,3,0,2017,Medium,,1,4.0
PR2007,79F7-78EC,2018-01-01,5,2,5,1,1,2,4,3,-1,2018,Medium,Poor,1,3.5
PR2008,41EC-F2AA,2018-01-01,5,5,3,2,2,3,4,3,-1,2018,Medium,Average,1,5.0
PR2009,B61E-0F26,2018-01-02,4,4,2,2,1,4,4,3,-1,2018,Medium,Good,1,4.0
PR201,AD0D-E79F,2014-02-05,5,4,2,3,1,4,4,3,-1,2014,Medium,Good,1,4.5
PR2010,F5E3-48BB,2018-01-02,4,2,4,1,2,3,3,3,0,2018,Medium,Average,1,3.0
PR2011,C2DD-9D37,2018-01-02,4,4,3,1,0,3,4,4,0,2018,Medium,Average,1,4.0
PR2012,DF71-97FB,2018-01-02,3,3,3,2,2,2,3,3,0,2018,Medium,Poor,1,3.0
PR2013,0678-748A,2018-01-03,4,2,4,3,2,5,4,3,-1,2018,Medium,,1,3.0
PR2014,541F-3E19,2018-01-03,4,4,2,1,0,4,3,2,-1,2018,Medium,Good,1,4.0
PR2015,F93E-BDEF,2018-01-03,5,4,4,2,3,5,5,4,-1,2018,High,,1,4.5
PR2016,C0A1-EB7D,2018-01-04,5,4,5,1,0,4,4,4,0,2018,Medium,Good,1,4.5
PR2017,1359-BEE3,2018-01-05,5,2,2,1,1,3,3,3,0,2018,Medium,Average,1,3.5
PR2018,D5DA-363A,2018-01-06,5,3,3,2,1,3,3,2,-1,2018,Medium,Average,1,4.0
PR2019,9E7A-1F70,2018-01-07,3,2,5,1,1,2,5,5,0,2018,High,Poor,1,2.5
PR202,D8B3-30D2,2014-02-05,4,2,3,3,2,3,3,3,0,2014,Medium,Average,1,3.0
PR2020,58F5-C8FC,2018-01-07,5,4,2,3,0,4,5,5,0,2018,High,Good,1,4.5
PR2021,C251-2A18,2018-01-08,5,3,4,1,0,3,4,4,0,2018,Medium,Average,1,4.0
PR2022,05ED-92F1,2018-01-09,5,4,3,3,0,5,4,3,-1,2018,Medium,,1,4.5
PR2023,F72D-261D,2018-01-09,3,5,4,2,1,4,3,2,-1,2018,Medium,Good,1,4.0
PR2024,38EB-ADBD,2018-01-09,3,2,4,3,2,4,4,4,0,2018,Medium,Good,1,2.5
PR2025,D106-E487,2018-01-09,5,5,3,2,2,4,3,2,-1,2018,Medium,Good,1,5.0
PR2026,4563-8637,2018-01-09,4,5,3,3,2,3,5,4,-1,2018,High,Average,1,4.5
PR2027,774E-685D,2018-01-10,4,5,4,2,0,2,4,3,-1,2018,Medium,Poor,1,4.5
PR2028,9937-CDF7,2018-01-10,4,2,2,2,2,4,5,5,0,2018,High,Good,1,3.0
PR2029,CD59-7F94,2018-01-10,3,5,5,2,2,4,4,3,-1,2018,Medium,Good,1,4.0
PR203,151D-1FF2,2014-02-06,4,5,4,2,0,3,4,3,-1,2014,Medium,Average,1,4.5
PR2030,7839-CA12,2018-01-11,3,5,2,3,0,4,5,4,-1,2018,High,Good,1,4.0
PR2031,EB66-D679,2018-01-11,4,4,3,1,1,5,3,2,-1,2018,Medium,,1,4.0
PR2032,763B-DE6E,2018-01-12,3,4,2,1,0,2,3,3,0,2018,Medium,Poor,1,3.5
PR2033,12F7-BCBB,2018-01-13,3,3,4,3,0,5,3,2,-1,2018,Medium,,1,3.0
PR2034,D045-B6CA,2018-01-13,3,5,3,1,0,4,4,3,-1,2018,Medium,Good,1,4.0
PR2035,B340-5AD2,2018-01-13,5,5,2,2,3,5,4,4,0,2018,Medium,,1,5.0
PR2036,FF14-A43E,2018-01-14,5,3,2,1,0,2,3,3,0,2018,Medium,Poor,1,4.0
PR2037,02DA-7A72,2018-01-15,3,3,3,3,2,2,3,2,-1,2018,Medium,Poor,1,3.0
PR2038,28EA-A010,2018-01-15,3,3,4,3,2,4,4,4,0,2018,Medium,Good,1,3.0
PR2039,CBB3-0D7E,2018-01-15,4,3,5,3,2,3,4,3,-1,2018,Medium,Average,1,3.5
PR204,5476-CA0D,2014-02-06,3,5,3,2,1,5,3,2,-1,2014,Medium,,1,4.0
PR2040,C330-DAF4,2018-01-15,4,2,5,2,1,5,5,4,-1,2018,High,,1,3.0
PR2041,B48C-47D0,2018-01-16,3,2,5,1,1,4,3,3,0,2018,Medium,Good,1,2.5
PR2042,6DEB-F440,2018-01-16,4,4,4,1,0,3,4,4,0,2018,Medium,Average,1,4.0
PR2043,32AE-C02F,2018-01-17,3,3,4,2,1,3,3,2,-1,2018,Medium,Average,1,3.0
PR2044,8A6B-AD5C,2018-01-17,5,5,5,1,1,3,4,3,-1,2018,Medium,Average,1,5.0
PR2045,8D34-EBDF,2018-01-17,5,3,2,3,0,4,3,2,-1,2018,Medium,Good,1,4.0
